AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
upstream of Caltrain,other,Atherton Channel,ACUC1,River Stage/Flow Location,,37.461900,-122.1938,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acuc1,HGIRR,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,San Mateo,America/Los_Angeles
Conway,above,Waccamaw River,ACWS1,River Stage/Flow Location,US02110550,33.850833,-78.897222,ILM,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=acws1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,,Horry,America/New_York
Covington,above,Alcovy River,ACYG1,Stage/Flow and Precipitation Location,US02208450,33.639389,-83.778417,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,9,12,16,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acyg1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,645.92,645.92 ft,,,,Newton,America/New_York
Atlantic City (ocean front) (IN MLLW),at,New Jersey Atlantic Coast,ACYN4,River Stage/Flow Location,,39.350000,-74.416667,PHI,MARFC,NJ,Mid Atlantic Region,No,,0,6,7,8,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=acyn4,HMIRG,Yes,-2 Feet,Year-round,Yes,No,Yes,NOAA National Ocean Service,No,No,N/A,N/A,N/A,,0,-2.61,,,-1.99,,America/New_York
Calaveras Creek near Sunol,below,Alameda Creek,ACZC1,River Stage/Flow Location,US11173510,37.503547,-121.824677,MTR,CNRFC,CA,California Region,No,430 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=aczc1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,430,,430 ft,,,Alameda,America/Los_Angeles
Ada,near,Salt Creek (KS),ADAK1,River Stage/Flow Location,US06876700,39.139167,-97.836667,TOP,MBRFC,KS,Missouri Region,No,1247.18 ft,13,18,19,24,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=adak1,HGIRG,Yes,-9999 Feet,High Water,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1248.07,1248.07 ft,1247.18 ft,,,Ottawa,America/Chicago
Ada,at,Grand River,ADAM4,River Stage/Flow Location,US04118105,42.956974,-85.477523,GRR,NCRFC,MI,Great Lakes Region,No,,17,20,22,25,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=adam4,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,603.51,603.51 ft,,,,Kent,America/New_York
Adena,,,ADAO1,Precipitation Location,,40.249722,-80.863889,PBZ,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=adao1,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Jefferson,America/New_York
Diversion Dam near Augusta,below,Sun River,ADDM8,River Stage/Flow Location,,47.619444,-112.691111,TFX,MBRFC,MT,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=addm8,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,0,,,,0 ft,Lewis and Clark,America/Denver
Addington,near,Cow Creek (OK),ADDO2,River Stage/Flow Location,US07313585,34.245000,-97.974167,OUN,ABRFC,OK,Arkansas-White-Red Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=addo2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,896.12,896.12,,,,Jefferson,America/Chicago
Addicks Reservoir,at,Langham Creek,ADDT2,River Stage/Flow Location,US08073000,29.791111,-95.623333,HGX,WGRFC,TX,Texas-Gulf Region,No,,93,96,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=addt2,HPIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,0,,,,NULL,Harris,America/Chicago
Andover,,,ADEO1,Precipitation Location,,41.602800,-80.5575,CLE,OHRFC,OH,Great Lakes Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=adeo1,,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Ashtabula,America/Puerto_Rico
Aden,near,Cedar Run,ADEV2,River Stage/Flow Location,,38.615080,-77.55342,LWX,MARFC,VA,Mid Atlantic Region,No,,9,10,15,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=adev2,HGIRZ,Yes,-9999 Feet,Data Point,No,No,Yes,VT Occoquan Monitoring Laboratory,No,No,N/A,N/A,N/A,,,,,,,Prince William,America/New_York
Adak Tide Gage,at,Adak,ADKA2,River Stage/Flow Location,,51.863333,-176.631667,PAFC,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=adka2,HMIRG,Yes,0 Feet,Year-round,No,No,Yes,NOAA/NOS,No,No,N/A,N/A,N/A,,,,,,,Aleutians West Census Area,America/Anchorage
Verona,at,Arroyo de la Laguna,ADLC1,River Stage/Flow Location,US11176900,37.626599,-121.883013,MTR,CNRFC,CA,California Region,No,,15,15,17,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=adlc1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,No,No,Yes,NAVD 1988,260.11,260.11 ft,,,,Alameda,America/Los_Angeles
Avondale,near,Arkansas River,ADLC2,River Stage/Flow Location,US07109500,38.248058,-104.399136,PUB,ABRFC,CO,Arkansas-White-Red Region,No,4509.53 ft,6,7,8,9,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pub&gage=adlc2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,4509.53,,4509.53 ft,,,Pueblo,America/Denver
Adel (SR 37),near,Little River (SW Georgia),ADLG1,River Stage/Flow Location,US02318000,31.155000,-83.543611,TAE,SERFC,GA,South Atlantic-Gulf Region,No,,187,189,193,195,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=adlg1,HGIRG,Yes,175.3 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,0,173.1,,,0.00,Cook,America/New_York
Eel River near Logansport (Adamsboro),near,Eel River (IN),ADMI3,River Stage/Flow Location,US03328500,40.781944,-86.263889,IWX,OHRFC,IN,Ohio Region,No,,7,9,11,12.4,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=admi3,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,the USGS (03328500),Yes,No,N/A,N/A,N/A,NAVD88,621.01,621.01,,,,Cass,America/New_York
Adamsville,at,Raccoon Creek,ADMO1,River Stage/Flow Location,US03202000,38.873611,-82.355833,RLX,OHRFC,OH,Ohio Region,No,570.04 ft,19,21,24,28,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=admo1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,569.33,569.33 ft,570.04 ft,,,Gallia,America/New_York
SH 87,at,Adams Bayou,ADMT2,River Stage/Flow Location,US08030800,30.093400,-93.7497,LCH,WGRFC,TX,Texas-Gulf Region,No,,3.5,4,5,6,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=admt2,HGIRZ,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,0,,,,,Orange,America/Chicago
Raible Avenue in Anderson,at,White River (IN),ADNI3,River Stage/Flow Location,US03348130,40.110600,-85.7108,IND,OHRFC,IN,Ohio Region,No,816.54 ft,8,10,15,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=adni3,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,816.54,,816.54 ft,,,Madison,America/New_York
South Addison,at,Tuscarora Creek,ADNN6,River Stage/Flow Location,US01525981,42.072222,-77.298889,BGM,MARFC,NY,Mid Atlantic Region,No,1078.95 ft,8,9,11,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=adnn6,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1078.45,1078.45 ft,1078.95 ft,,,Steuben,America/New_York
Adney Gap,,,ADNV2,Precipitation Location,,37.118611,-80.124444,RNK,SERFC,VA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=adnv2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Franklin,America/New_York
Adna,near,Chehalis River,ADNW1,River Stage/Flow Location,US12021800,46.625833,-123.100556,SEW,NWRFC,WA,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sew&gage=adnw1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,,,,,,Lewis,America/Los_Angeles
Adolph,at,Middle Fork Tygart Valley River,ADOW2,River Stage/Flow Location,US03051100,38.745941,-80.04562,RLX,OHRFC,WV,Ohio Region,No,,9,10,11,14,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=adow2,HGIRR,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,2296.16,2296.16 ft,,,,Randolph,America/New_York
Adrian,near,River Raisin,ADRM4,River Stage/Flow Location,US04176000,41.904167,-83.980556,DTX,NCRFC,MI,Great Lakes Region,No,693.2 ft,13,18,19,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=adrm4,HGIRG,Yes,0 Feet,High Water,No,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,692.73,,693.2 ft,,,Lenawee,America/New_York
Anderson Drive,at,Crabtree Creek,ADRN7,River Stage/Flow Location,US0208731190,35.821111,-78.634167,RAH,SERFC,NC,South Atlantic-Gulf Region,No,187.29 ft,15,16,18,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=adrn7,HGIRR,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,186.47,,187.29 ft,,,Wake,America/New_York
Andrews,near,Black River,ADRS1,River Stage/Flow Location,US02136030,33.490278,-79.544833,ILM,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=adrs1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Georgetown,America/New_York
Audra,at,Middle Fork Tygart Valley River,ADRW2,River Stage/Flow Location,US03052000,39.039545,-80.068135,RLX,OHRFC,WV,Ohio Region,No,,8,10,11,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=adrw2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1669.4,1669.4 ft,,,,Barbour,America/New_York
Ada,near,Wild Rice River (MN),ADSM5,River Stage/Flow Location,US05063000,47.262778,-96.500278,FGF,NCRFC,MN,Souris-Red-Rainy Region,No,890.10 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=adsm5,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,Minnesota DNR,Yes,No,N/A,N/A,N/A,NGVD29,890.1,,890.10 ft,,,Norman,America/Chicago
Alexander 4W,above,Walnut Creek (KS),AERK1,River Stage/Flow Location,US07141770,38.464722,-99.622222,DDC,ABRFC,KS,Arkansas-White-Red Region,No,,29,31,33,35,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=aerk1,,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,2068.19,,,,,Ness,America/Chicago
Amsterdam,,,AERO1,Precipitation Location,,40.460278,-80.929444,PBZ,OHRFC,OH,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=aero1,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Jefferson,America/New_York
Ames US 30,near,South Skunk River,AESI4,Stage/Flow and Precipitation Location,US05471000,42.008222,-93.595972,DMX,NCRFC,IA,Upper Mississippi Region,No,,19,21.5,23.5,24.5,FT,MVR,https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=aesi4,HGIRV,Yes,-9999 Feet,High Water,Yes,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,857.1,857.10 ft,,,,Story,America/Chicago
Alexandria,at,Red River,AEXL1,River Stage/Flow Location,,31.308889,-92.439167,LCH,LMRFC,LA,Lower Mississippi Region,No,44.26 ft,28,32,36,40,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=aexl1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers,No,Yes,Yes,Yes,Yes,NGVD29,44.26,44.30 ft,44.26 ft,,,Rapides Parish,America/Chicago
Algonquin tailwater,at,Fox River,AFBI2,River Stage/Flow Location,US05550001,42.161944,-88.293889,LOT,NCRFC,IL,Upper Mississippi Region,No,,9,9.5,10.5,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=afbi2,HGIRG,Yes,4 Feet,High Water,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,719.22,719.29,,,,McHenry,America/Chicago
Foothill College,above,Adobe Creek,AFCC1,River Stage/Flow Location,,37.358000,-122.128,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=afcc1,HGIRG,Yes,0 Feet,No routine,No,No,Yes,SCVWD,No,No,N/A,N/A,N/A,,,,,,,Santa Clara,America/Los_Angeles
Aberdeen,near,Foot Creek,AFCS2,River Stage/Flow Location,US06471800,45.519167,-98.577222,ABR,MBRFC,SD,Missouri Region,No,,8,9,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=afcs2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1319.17,1319.17,,,,Brown,America/Chicago
Humboldt,near,Agua Fria River,AFHA3,River Stage/Flow Location,US09512450,34.485278,-112.2375,FGZ,CBRFC,AZ,Lower Colorado Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=afha3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,4400,,,,,Yavapai,America/Phoenix
Mayer,near,Agua Fria River,AFMA3,River Stage/Flow Location,US09512500,34.315278,-112.063333,FGZ,CBRFC,AZ,Lower Colorado Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=afma3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,3434,,,,,Yavapai,America/Phoenix
American Fork,near,American Fork River,AFPU1,River Stage/Flow Location,US10164500,40.447730,-111.682147,SLC,CBRFC,UT,Great Basin Region,No,5950,8.2,8.5,8.7,9,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=afpu1,HGIRG,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,5950,,5950,,,Utah,America/Denver
Rock Springs,near,Agua Fria River,AFRA3,River Stage/Flow Location,US09512800,34.015556,-112.167938,PSR,CBRFC,AZ,Lower Colorado Region,No,,15,16,19,24,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=psr&gage=afra3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,1800,,,,1800 ft,,America/Phoenix
American Falls,at,Eastern Idaho Reservoirs,AFRI1,River Stage/Flow Location,,42.778890,-112.87694,PIH,NWRFC,ID,Pacific Northwest Region,No,4300.0 ft,4354.55,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pih&gage=afri1,HPIRG,Yes,-9999 Feet,Year-round,Yes,No,Yes,US Bureau of Reclamation,No,Yes,Yes,Yes,Yes,,4370,,4300.0 ft,,,Power,America/Denver
Sandy Creek at Forbes Rd near Greenwell Springs,at,Amite River Basin,AFRL1,River Stage/Flow Location,US07377243,30.621111,-90.982222,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=afrl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,,,,,East Baton Rouge Parish,America/Chicago
Africa,at,Alum Creek,AFRO1,River Stage/Flow Location,US03228805,40.182222,-82.961667,ILN,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=afro1,HTIRG,Yes,-9999 Feet,Data Point,No,No,Yes,USGS/US Army Corps,No,No,N/A,N/A,N/A,NGVD29,822,,,,822,,America/New_York
Alexandria,at,Four Mile Run,AFRV2,River Stage/Flow Location,US01652500,38.843333,-77.085833,LWX,MARFC,VA,Mid Atlantic Region,No,,6,12,15,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=afrv2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,27.66,,,,,Arlington,America/New_York
Afton Mountain,,,AFTV2,Precipitation Location,,38.028889,-78.859722,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=aftv2,,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Nelson,America/New_York
Afton,,,AFTW2,Precipitation Location,,39.535556,-79.530556,PBZ,OHRFC,WV,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=aftw2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Preston,America/New_York
Afton,at,Rock River,AFTW3,River Stage/Flow Location,US05430500,42.613611,-89.071667,MKX,NCRFC,WI,Upper Mississippi Region,Yes,742.36 ft,8,9,11.1,12.2,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=aftw3,HGIRP,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,742.14,742.14 ft,742.36 ft,,,Rock,America/Chicago
Augusta,at,Walnut River,AGAK1,River Stage/Flow Location,US07146895,37.670556,-96.98,ICT,ABRFC,KS,Arkansas-White-Red Region,No,1194.802 ft,21,23,28,36,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=agak1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,1194.802,,1194.802 ft,,,Butler,America/Chicago
Agua Caliente,at,Sonoma Creek,AGCC1,River Stage/Flow Location,US11458500,38.323247,-122.494426,MTR,CNRFC,CA,California Region,No,94.28 ft,16,0,17.5,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=agcc1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,94.28,,94.28 ft,,,Sonoma,America/Los_Angeles
Algonac,at,St Clair River,AGCM4,River Stage/Flow Location,,42.615833,-82.543611,DTX,NCRFC,MI,Great Lakes Region,No,,577.33,578,0,578.22,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=agcm4,HMIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,St. Clair,America/New_York
Sioux Falls,at,Silver Creek,AGCS2,River Stage/Flow Location,US06482010,43.602222,-96.731389,FSD,MBRFC,SD,Missouri Region,No,,5,6,8.5,10,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=agcs2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1421.09,1421.09,,,,Minnehaha,America/Chicago
George Creek,above,Asotin Creek,AGCW1,River Stage/Flow Location,,46.323056,-117.135,OTX,NWRFC,WA,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=agcw1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,WA Department of Ecology,No,No,N/A,N/A,N/A,,,,,,1050,Asotin,America/Los_Angeles
Agassiz NWR @ JD 11,above,Thief River,AGDM5,River Stage/Flow Location,,48.311111,-96.058056,FGF,NCRFC,MN,Souris-Red-Rainy Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=agdm5,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Fish & Wildlife Service,Yes,No,N/A,N/A,N/A,,0,,,0.00 ft,,Marshall,America/Chicago
22nd Street Bridge,at,Arroyo Grande Creek,AGGC1,River Stage/Flow Location,,35.095556,-120.607222,LOX,CNRFC,CA,California Region,No,,29,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lox&gage=aggc1,HGIRR,Yes,-9999 Feet,No routine,No,No,Yes,San Luis Obispo County Public Works,Yes,No,N/A,N/A,N/A,,,,,,,San Luis Obispo,America/Los_Angeles
Aughwick,,,AGHP1,Precipitation Location,,40.097500,-78.091667,CTP,MARFC,PA,Mid Atlantic Region,No,,0,0,0,0,FT,BAL,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=aghp1,,No,0 Feet,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Fulton,America/New_York
Algona,near,East Fork Des Moines River,AGNI4,Stage/Flow and Precipitation Location,US05478265,43.082667,-94.230556,DMX,NCRFC,IA,Upper Mississippi Region,No,,13,17,18,22,FT,MVR,https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=agni4,HGIRV,Yes,-9999 Feet,High Water,Yes,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1098.78,1098.78 ft,,,,Kossuth,America/Chicago
Agness,near,Rogue River,AGNO3,River Stage/Flow Location,US14372300,42.578442,-124.058144,MFR,NWRFC,OR,Pacific Northwest Region,No,113.81 ft,14,17,42,49,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=agno3,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,No,No,Yes,NGVD29,113.81,,113.81 ft,,,,America/Los_Angeles
Agassiz Pool,at,Thief River,AGPM5,River Stage/Flow Location,,48.325000,-95.986944,FGF,NCRFC,MN,Souris-Red-Rainy Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=agpm5,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Fish & Wildlife Service,Yes,No,N/A,N/A,N/A,,0,,,0.00 ft,,Marshall,America/Chicago
Wilmer,above,Escatawpa River,AGRA1,River Stage/Flow Location,US02479500,30.862222,-88.417778,MOB,LMRFC,AL,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=agra1,HGIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,55.01,,,,,Mobile,America/Chicago
St. Ansgar,near,Cedar River,AGRI4,River Stage/Flow Location,,43.355400,-92.9252,ARX,NCRFC,IA,Upper Mississippi Region,No,,1101,1104,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=arx&gage=agri4,HGIRP,Yes,-9999 Feet,Data Point,No,No,Yes,Iowa Flood Center,Yes,No,N/A,N/A,N/A,NAVD88,1096.87,1096.87 ft,,,,Mitchell,America/Chicago
Augusta,at,Skunk River,AGSI4,River Stage/Flow Location,US05474000,40.754400,-91.275399,DVN,NCRFC,IA,Upper Mississippi Region,No,521.24 ft,14,15,17,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=agsi4,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,U.S. Geological Survey,Yes,Yes,Yes,Yes,No,NGVD29,521.24,,521.24 ft,,,Des Moines,America/Chicago
Augusta,at,Whitewater River (KS),AGSK1,River Stage/Flow Location,US07147190,37.679700,-96.99638,ICT,ABRFC,KS,Arkansas-White-Red Region,No,1197.17 ft,19,21,25,30,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=agsk1,HGIRG,Yes,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1198.3,1198.30 ft,1197.17 ft,,,Butler,America/Chicago
Augusta,above,Sun River,AGSM8,River Stage/Flow Location,,47.601667,-112.753611,TFX,MBRFC,MT,Missouri Region,No,,4724,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=agsm8,HPIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,0,,,,,Lewis and Clark,America/Denver
